Name,Email,Twitter,Discord,Patron Status,Follows You,Lifetime Amount,Pledge Amount,Charge Frequency,Tier,Addressee,Street,City,State,Zip,Country,Phone,Patronage Since Date,Last Charge Date,Last Charge Status,Additional Details,User ID,Last Updated,Currency,Max Posts,Access Expiration,Next Charge Date
Gregory Johnson,yweaver@example.com,south,south,Activated,No,5,5,Yearly,Big Brain,377 Adrian Manors,Sara Lodge,Port Nicholasville,New York,02518,Gabon,177-296-2035x608,2020-06-06 23:21:22,2022-04-06 15:46:35,UNKNOWN,NONE,south,UNKNOWN,USD,461,2024-07-19 21:33:34,2028-06-18 17:28:30
Kenneth Lindsey,angelawalton@example.net,difference,difference,Deactivated,Yes,5,5,Monthly,Big Brain,61718 Johnny Falls Suite 755,Kelly Glens,New Justintown,Massachusetts,48345,Kenya,592.745.3376,2020-07-14 23:38:55,2020-03-11 02:50:11,UNKNOWN,NONE,difference,UNKNOWN,USD,582,2024-01-22 02:36:36,2026-10-28 05:37:47
Andrew Andrews,jodi26@example.net,take,take,Deactivated,Yes,5,5,Yearly,Big Brain,622 Caleb Walks,Cox Motorway,North Angela,Tennessee,78959,Guyana,(165)295-5622x936,2020-08-07 18:18:25,2021-02-16 15:03:36,UNKNOWN,NONE,take,UNKNOWN,USD,718,2025-04-29 07:50:43,2029-07-14 08:38:53
Margaret Garcia,clairemarsh@example.org,since,since,Activated,No,30,15,Monthly,Galaxy Brain,92783 Edwards Fork Suite 293,Alvarez Meadows,Melendezfurt,Wisconsin,03802,Sweden,001-883-977-3829x05386,2021-03-10 22:57:21,2020-02-03 19:02:41,UNKNOWN,NONE,since,UNKNOWN,USD,557,2027-08-26 17:55:21,2025-08-23 22:12:00
Kelly Stephens,hopkinssteven@example.org,difference,difference,Activated,No,30,15,Yearly,Galaxy Brain,312 Jeffrey Plains Apt. 025,Karen Lock,East Tina,Colorado,52650,Barbados,766-212-1614x335,2020-09-13 12:54:59,2020-11-23 07:54:41,UNKNOWN,NONE,difference,UNKNOWN,USD,336,2028-05-12 06:17:33,2027-12-09 12:14:13
Veronica Mitchell,millerbryan@example.net,them,them,Activated,Yes,15,15,Monthly,Galaxy Brain,529 Holly Islands Suite 836,Heather Canyon,South Kelly,Wisconsin,10095,Rwanda,542.992.7050x8182,2021-10-23 23:14:10,2021-05-24 03:41:10,UNKNOWN,NONE,them,UNKNOWN,USD,530,2025-12-20 07:33:30,2028-11-27 06:35:47
Joel Davis,leechristian@example.org,security,security,Deactivated,Yes,15,5,Yearly,Big Brain,27506 Sheila Underpass Suite 958,Kelly Flats,Cookchester,Alaska,73063,Switzerland,001-183-872-5666x4988,2021-03-14 14:37:22,2022-04-24 11:12:42,UNKNOWN,NONE,security,UNKNOWN,USD,891,2029-08-20 13:30:27,2024-04-13 22:57:49
Kenneth Smith,georgebryant@example.net,director,director,Deactivated,No,5,5,Monthly,Big Brain,69287 Amanda Trail,Collins Camp,Marcchester,New Mexico,72518,Jamaica,947.460.9427x45426,2020-04-10 05:14:21,2021-02-25 12:31:18,UNKNOWN,NONE,director,UNKNOWN,USD,948,2027-06-01 20:24:21,2023-09-05 12:44:13
Julie Hobbs,jasonmills@example.net,ahead,ahead,Activated,Yes,15,15,Monthly,Galaxy Brain,02849 Rachel Center,Omar Avenue,Jessicaland,Kentucky,59798,Lesotho,196-879-2451x9950,2022-02-05 10:05:40,2021-04-01 03:41:46,UNKNOWN,NONE,ahead,UNKNOWN,USD,645,2026-07-15 06:15:52,2026-08-31 15:39:02
Nathan George,estradajames@example.net,edge,edge,Deactivated,Yes,30,15,Monthly,Galaxy Brain,2179 Solis Stravenue,Jennifer Mountains,South Gloriaton,Massachusetts,73245,Italy,873-368-4148x06249,2020-05-30 22:39:06,2020-01-07 08:36:01,UNKNOWN,NONE,edge,UNKNOWN,USD,392,2025-01-12 13:43:53,2022-06-29 02:04:01
